,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intersection between Visits and Recomendation,,,,
1644287,Cinemas NOS Forum Aveiro,Movie Theater,arts and entertainment,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Forum Aveiro,Shopping Mall,retail,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,BP,Gas Station,business and professional services,"Pousada de Angra do Hero√≠smo,  S√£o Sebasti√£o",Bed & Breakfast,travel and transportation,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,Hotel S√£o Jo√£o de Deus,Hotel,travel and transportation,,,,0,0,0.6,,
838260,Liberty American Store,Grocery Store,retail,Continente,Big Box Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Convenience Store,retail,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Atlantic,Restaurant,dining and drinking,Lapa Palace,Hotel,travel and transportation,Da Wave,Italian Restaurant,dining and drinking,Quinta das Carvalhas,Vineyard,dining and drinking,Pingo Doce,Supermarket,retail,,,,0.2,0,0.8,,!
384340,Moustache Coffee House,Coffee Shop,dining and drinking,Continente Bom Dia,Supermarket,retail,Galp,Gas Station,business and professional services,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Pestana Sintra Golf   Conference & Spa Resort,Hotel,travel and transportation,Sky Bar,Roof Deck,landmarks and outdoors,,,,0.2,0.6,0.8,,
195526,Forum Sintra,Shopping Mall,retail,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,Decathlon,Sporting Goods Shop,retail,Continente,Supermarket,retail,Atlantic,Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Triparte Est√∫dio,Tattoo Parlor,business and professional services,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,,,,0,0,0,,
1531430,Prio,Gas Station,business and professional services,Conforama,Furniture / Home Store,retail,H√§agen-Dazs,Ice Cream Shop,dining and drinking,Pingo Doce,Supermarket,retail,Worten,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Alf?ndega do Porto,Event Space,business and professional services,Continente,Supermarket,retail,Continente Modelo,Supermarket,retail,Login Laser Tag,Laser Tag,arts and entertainment,,,,0,0.2,1,,
165209,Lidl,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Praia da Rocha,Beach,landmarks and outdoors,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Pingo Doce,Grocery Store,retail,Hotel Real Oeiras,Hotel,travel and transportation,S√£o Rafael Atl√¢ntico,Resort,travel and transportation,Sabor a M√©xico,Mexican Restaurant,dining and drinking,Pine Cliffs Residence,Resort,travel and transportation,,,,0,0,0.6,,
1796623,Nosolo Italia Pra√ßa do Com√©rcio,Italian Restaurant,dining and drinking,A Outra Face da Lua,Thrift / Vintage Store,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Starbucks,Coffee Shop,dining and drinking,Esta??o Ferrovi?ria de Entrecampos,Train Station,travel and transportation,Liberty American Store,Grocery Store,retail,L4D Web Agency - Live4Digital,Design Studio,business and professional services,Pingo Doce,Supermarket,retail,Sky Bar,Roof Deck,landmarks and outdoors,Pestana Sintra Golf   Conference & Spa Resort,Hotel,travel and transportation,,,,0,0,0.2,,
774101,Continente,Big Box Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Leiria Shopping,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Cinemas NOS Vasco da Gama,Movie Theater,arts and entertainment,H√§agen-Dazs,Ice Cream Shop,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Esta√ß√£o Viana Shopping,Shopping Mall,retail,Worten,Electronics Store,retail,,,,0.4,0.6,0.8,,
383603,Nike Outlet,Sporting Goods Shop,retail,Conforama,Furniture / Home Store,retail,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,Pingo Doce,Supermarket,retail,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,Moustache Coffee House,Coffee Shop,dining and drinking,Don Costini (Saldanha),Burger Joint,dining and drinking,Restaurante EMO Gourmet,Restaurant,dining and drinking,Lapa Palace,Hotel,travel and transportation,,,,0,0,0,,
2164448,BP,Gas Station,business and professional services,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,Companhia,Sandwich Place,dining and drinking,Pingo Doce,Supermarket,retail,L4D Web Agency - Live4Digital,Design Studio,business and professional services,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,Museu de √âvora,Museum,arts and entertainment,Sol P√≥voa Hotel,Hotel,travel and transportation,daCozinha,Gastropub,dining and drinking,,,,0,0,0.4,,
113281,Nosolo Italia Pra√ßa do Com√©rcio,Italian Restaurant,dining and drinking,El Sombrero,Mexican Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Continente,Big Box Store,retail,Garrafeira Alfaia,Winery,dining and drinking,E.Leclerc,Big Box Store,retail,La Expo Dolce Vita,Italian Restaurant,dining and drinking,The Vintage Hotel & Spa,Hotel,travel and transportation,Pingo Doce,Grocery Store,retail,Tomo,Japanese Restaurant,dining and drinking,,,,0,0.4,1,,
408121,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Estalagem Ponta do Sol,Hotel,travel and transportation,Quintinha S√£o Jo√£o,Hotel,travel and transportation,,,,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,Museu de √âvora,Museum,arts and entertainment,Silk Club,Nightclub,arts and entertainment,,,,0.25,0.75,0.75,,
2251794,Loja MEO,Electronics Store,retail,Bikeiberia Rentals & Tours,Bike Rental / Bike Share,travel and transportation,Decathlon,Sporting Goods Shop,retail,Bertrand,Bookstore,retail,,,,Don Costini (Saldanha),Burger Joint,dining and drinking,Lapa Palace,Hotel,travel and transportation,Restaurante EMO Gourmet,Restaurant,dining and drinking,Active Media,Design Studio,business and professional services,Churrasqueira Yao,BBQ Joint,dining and drinking,,,,0,0,0.25,,
56019,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Pingo Doce,Grocery Store,retail,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Altice Arena,Stadium,arts and entertainment,Museu de √âvora,Museum,arts and entertainment,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,H√§agen-Dazs,Ice Cream Shop,dining and drinking,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,,,,0.4,0.4,0.8,,
174777,Forum Sintra,Shopping Mall,retail,Pingo Doce,Supermarket,retail,Leiria Shopping,Shopping Mall,retail,Squadra,Ice Cream Shop,dining and drinking,Cinemas NOS Vasco da Gama,Movie Theater,arts and entertainment,Lapa Palace,Hotel,travel and transportation,Restaurante EMO Gourmet,Restaurant,dining and drinking,Don Costini (Saldanha),Burger Joint,dining and drinking,P?tio do Bar?o,Sports Bar,dining and drinking,Tavira Gran-Plaza,Shopping Mall,retail,,,,0,0.4,0.8,,
1206956,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Oeiras Parque,Shopping Mall,retail,,,,BP,Gas Station,business and professional services,BP,Gas Station,business and professional services,"Pousada de Angra do Hero√≠smo,  S√£o Sebasti√£o",Bed & Breakfast,travel and transportation,Hotel S√£o Jo√£o de Deus,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,,,,0,0,0,,
48836,Spirito Cupcakes & Coffee,Cupcake Shop,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Esta??o Ferrovi?ria de Entrecampos,Train Station,travel and transportation,,,,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,Museu de √âvora,Museum,arts and entertainment,Pingo Doce,Supermarket,retail,Altis Bel?m Hotel & SPA,Hotel,travel and transportation,BP,Gas Station,business and professional services,,,,0,0,0.25,,
184543,McDonald's,Fast Food Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Pena Aventura Park,Other Great Outdoors,landmarks and outdoors,Espa√ßo Guimar√£es,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,BP,Gas Station,business and professional services,Triparte Est√∫dio,Tattoo Parlor,business and professional services,Hotel Dom Jose,Hotel,travel and transportation,BP,Gas Station,business and professional services,"Pousada de Angra do Hero√≠smo,  S√£o Sebasti√£o",Bed & Breakfast,travel and transportation,,,,0,0,0,,
404716,Pingo Doce,Supermarket,retail,"Pousada do Porto,  Pal√°cio do Freixo",Hotel,travel and transportation,Est√°dio do Drag√£o,Soccer Stadium,sports and recreation,Continente,Supermarket,retail,Parque Nascente,Shopping Mall,retail,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,Museu de √âvora,Museum,arts and entertainment,Triparte Est√∫dio,Tattoo Parlor,business and professional services,BP,Gas Station,business and professional services,"Pousada de Angra do Hero√≠smo,  S√£o Sebasti√£o",Bed & Breakfast,travel and transportation,,,,0,0.2,0.2,,
1274356,Taberna Moderna,Bar,dining and drinking,Forum Sintra,Shopping Mall,retail,Lost In - Esplanada Bar,Bar,dining and drinking,Tomo,Japanese Restaurant,dining and drinking,Pal√°cio Nacional de Mafra,Museum,arts and entertainment,Worten Outlet,Electronics Store,retail,Pingo Doce,Supermarket,retail,Fitness Hut,Gym / Fitness Center,sports and recreation,El Sombrero,Mexican Restaurant,dining and drinking,daCozinha,Gastropub,dining and drinking,,,,0,0,0.8,,
1710672,Cepsa,Gas Station,business and professional services,McDonald's,Fast Food Restaurant,dining and drinking,Parque Nascente,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Casa da M?sica,Concert Hall,arts and entertainment,McDonald's,Fast Food Restaurant,dining and drinking,Esta√ß√£o Viana Shopping,Shopping Mall,retail,H√§agen-Dazs,Ice Cream Shop,dining and drinking,Continente Modelo,Supermarket,retail,Worten,Electronics Store,retail,,,,0.4,0.6,0.6,,
97015,Pingo Doce,Supermarket,retail,Est√°dio do Drag√£o,Soccer Stadium,sports and recreation,Parque Nascente,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,Santo Ant√≥nio,Steakhouse,dining and drinking,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,,,,0.2,0.2,0.6,,
1133261,McDonald's,Fast Food Restaurant,dining and drinking,A Outra Face da Lua,Thrift / Vintage Store,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,Esta??o Ferrovi?ria de Entrecampos,Train Station,travel and transportation,Conrad Algarve,Hotel,travel and transportation,Login Laser Tag,Laser Tag,arts and entertainment,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,,,,0,0,0.4,,
1354379,O Tijolo de Porto Salvo,Portuguese Restaurant,dining and drinking,Entrada Norte - CP Santa Apol√≥nia,Train Station,travel and transportation,Continente,Supermarket,retail,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Sushi Toro,Sushi Restaurant,dining and drinking,Caf√© Atenas,Portuguese Restaurant,dining and drinking,Sol P√≥voa Hotel,Hotel,travel and transportation,Nah Nah Bah,Burger Joint,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Tasquinha da Quinta,Mediterranean Restaurant,dining and drinking,,,,0,0.2,0.6,,
4966,Col√©gio dos Jesu√≠tas do Funchal,Historic Site,landmarks and outdoors,Sala Tejo,Event Space,business and professional services,Sheraton Porto Hotel & Spa,Hotel,travel and transportation,The Yeatman,Hotel,travel and transportation,Crowne Plaza Porto,Hotel,travel and transportation,Triparte Est√∫dio,Tattoo Parlor,business and professional services,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,Bengal Tandoori,Indian Restaurant,dining and drinking,Continente Portim√£o 2,Supermarket,retail,Bacalhau & Afins,Portuguese Restaurant,dining and drinking,,,,0,0,0.2,,
2154329,Worten,Electronics Store,retail,LoureShopping,Shopping Mall,retail,Pingo Doce,Supermarket,retail,Praia da Rocha,Beach,landmarks and outdoors,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Lut√©cia Hotel,Hotel,travel and transportation,Hotel Olissippo Oriente Lisboa,Hotel,travel and transportation,Active Media,Design Studio,business and professional services,Churrasqueira Yao,BBQ Joint,dining and drinking,Jupiter Algarve Hotel,Hotel,travel and transportation,,,,0,0,0,,
2306814,Caf√© Girassol,Bar,dining and drinking,Continente,Supermarket,retail,Esta√ß√£o Viana Shopping,Shopping Mall,retail,The Yeatman,Hotel,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,BP,Gas Station,business and professional services,Hotel Dom Jose,Hotel,travel and transportation,,,,0,0.4,1,,
375912,Forum Sintra,Shopping Mall,retail,Lidl,Supermarket,retail,Verso em Pedra,Restaurant,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Marqu?s de Pombal,Plaza,landmarks and outdoors,Pestana Sintra Golf   Conference & Spa Resort,Hotel,travel and transportation,Sky Bar,Roof Deck,landmarks and outdoors,Continente Modelo,Supermarket,retail,Lidl,Supermarket,retail,Taipas Termal,Spa,business and professional services,,,,0.2,0.2,0.6,,
239585,Prio Energy,Gas Station,business and professional services,Portela Caf√©s,Coffee Shop,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Continente,Supermarket,retail,Starbucks,Coffee Shop,dining and drinking,Hotel Dom Jose,Hotel,travel and transportation,Triparte Est√∫dio,Tattoo Parlor,business and professional services,BP,Gas Station,business and professional services,Hotel S√£o Jo√£o de Deus,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,,,,0,0.2,0.2,,
739456,McDonald's,Fast Food Restaurant,dining and drinking,BP,Gas Station,business and professional services,Worten Outlet,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,Praia da Rocha,Beach,landmarks and outdoors,Continente Modelo,Supermarket,retail,"Pousada de Manteigas,  S√£o Louren√ßo",Bed & Breakfast,travel and transportation,Continente Portim√£o 2,Supermarket,retail,Four Views Monumental,Hotel,travel and transportation,Sky Bar,Roof Deck,landmarks and outdoors,,,,0,0,0.4,,
176391,Lidl,Supermarket,retail,BP,Gas Station,business and professional services,O Ferro Velho,Portuguese Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,CINCO Lounge,Lounge,dining and drinking,Pingo Doce,Supermarket,retail,Hotel S√£o Mamede,Hotel,travel and transportation,Silk Club,Nightclub,arts and entertainment,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,,,,0.2,0.4,0.8,,
214234,IMO - Centro de Lavagem Auto,Automotive Shop,retail,BP,Gas Station,business and professional services,Magnetic,Lounge,dining and drinking,Cinemas NOS Alval√°xia,Movie Theater,arts and entertainment,McDonald's,Fast Food Restaurant,dining and drinking,Continente,Supermarket,retail,Santo Ant√≥nio,Steakhouse,dining and drinking,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,,,,0,0,0.6,,
1493572,BP,Gas Station,business and professional services,McDonald's,Fast Food Restaurant,dining and drinking,E.Leclerc,Big Box Store,retail,Espa√ßo Guimar√£es,Shopping Mall,retail,Est√°dio do Drag√£o,Soccer Stadium,sports and recreation,Pingo Doce,Supermarket,retail,Terrace Oeiras,Cocktail Bar,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Churrasqueira Yao,BBQ Joint,dining and drinking,Lut√©cia Hotel,Hotel,travel and transportation,,,,0,0,0.6,,
168180,Forum Sintra,Shopping Mall,retail,Norauto,Automotive Shop,retail,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Continente,Supermarket,retail,Cinemas NOS Vasco da Gama,Movie Theater,arts and entertainment,Conrad Algarve,Hotel,travel and transportation,Login Laser Tag,Laser Tag,arts and entertainment,Pingo Doce,Supermarket,retail,Santo Ant√≥nio,Steakhouse,dining and drinking,Pingo Doce,Supermarket,retail,,,,0,0.2,1,,
165644,Casa da M√∫sica,Concert Hall,arts and entertainment,The Iron Duke,Pub,dining and drinking,Cinemas NOS Forum Aveiro,Movie Theater,arts and entertainment,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Atlantic,Restaurant,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Caf√© Cervejaria Rossio,Portuguese Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,,,,,,,0.2,0.2,0.4,,
1534496,BP,Gas Station,business and professional services,Continente Modelo,Supermarket,retail,Pingo Doce,Supermarket,retail,Continente,Supermarket,retail,Continente,Supermarket,retail,The Wine House Hotel,Hotel,travel and transportation,Hotel Dom Jose,Hotel,travel and transportation,Lapa Palace,Hotel,travel and transportation,Catedral de √âvora,Historic Site,landmarks and outdoors,BP,Gas Station,business and professional services,,,,0.2,0.2,0.2,,
542708,S√£o Rafael Atl√¢ntico,Resort,travel and transportation,Praia Monte Gordo,Beach,landmarks and outdoors,Herdade dos Salgados Resort,Resort,travel and transportation,Salgados Palace,Hotel,travel and transportation,The Vintage Hotel & Spa,Hotel,travel and transportation,Pingo Doce,Supermarket,retail,Conrad Algarve,Hotel,travel and transportation,Terrace Oeiras,Cocktail Bar,dining and drinking,Continente Modelo,Supermarket,retail,Hotel Real Oeiras,Hotel,travel and transportation,,,,0,0.4,0.8,,
529093,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Starbucks,Coffee Shop,dining and drinking,Oeiras Parque,Shopping Mall,retail,Hard Rock Cafe Lisboa,American Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Nah Nah Bah,Burger Joint,dining and drinking,Sol P√≥voa Hotel,Hotel,travel and transportation,Caf√© Atenas,Portuguese Restaurant,dining and drinking,Moustache Coffee House,Coffee Shop,dining and drinking,,,,0.2,0.4,0.6,,
569668,Royale,Salon / Barbershop,business and professional services,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,LoureShopping,Shopping Mall,retail,Strada Shopping & Fashion Outlet,Shopping Mall,retail,Lapa Palace,Hotel,travel and transportation,Nah Nah Bah,Burger Joint,dining and drinking,Caf√© Atenas,Portuguese Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,Loja das Sopas,Soup Place,dining and drinking,,,,0,0.4,0.8,,
209554,McDonald's,Fast Food Restaurant,dining and drinking,Forum Sintra,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Worten,Electronics Store,retail,,,,Continente Modelo,Supermarket,retail,Continente,Supermarket,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Santo Ant√≥nio,Steakhouse,dining and drinking,,,,0,0,1,,
774588,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,Continente Modelo,Supermarket,retail,Continente Modelo,Supermarket,retail,Continente Modelo @ Frossos,Supermarket,retail,Continente Portim√£o 2,Supermarket,retail,Hotel Solar Dos Mascarenhas,Hotel,travel and transportation,Hotel Tivoli Sintra,Hotel,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,Carvi Beach Hotel Algarve,Hotel,travel and transportation,,,,0,1,1,,
602105,Liberty American Store,Grocery Store,retail,Parque Urbano do Jamor,Park,landmarks and outdoors,Cinemas NOS Braga Parque,Movie Theater,arts and entertainment,Esta√ß√£o Viana Shopping,Shopping Mall,retail,Pingo Doce,Supermarket,retail,Login Laser Tag,Laser Tag,arts and entertainment,Santo Ant√≥nio,Steakhouse,dining and drinking,Continente,Supermarket,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,,,,0.2,0.2,0.8,,
2179721,McDonald's,Fast Food Restaurant,dining and drinking,LoureShopping,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,Conrad Algarve,Hotel,travel and transportation,Atira-te ao rio,Restaurant,dining and drinking,Museu de √âvora,Museum,arts and entertainment,,,,0,0,1,,
2428847,O Palmense,Portuguese Restaurant,dining and drinking,Praia Monte Gordo,Beach,landmarks and outdoors,Forum Sintra,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Parque Urbano do Jamor,Park,landmarks and outdoors,Triparte Est√∫dio,Tattoo Parlor,business and professional services,Four Views Monumental,Hotel,travel and transportation,Continente Portim√£o 2,Supermarket,retail,Bengal Tandoori,Indian Restaurant,dining and drinking,Museu Nacional de Arte Antiga,Art Museum,arts and entertainment,,,,0,0,0.6,,
1840313,BP,Gas Station,business and professional services,"Pousada de Queluz,  D. Maria I",Bed & Breakfast,travel and transportation,Est√°dio do Drag√£o,Soccer Stadium,sports and recreation,McDonald's,Fast Food Restaurant,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Norauto,Automotive Shop,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Tasquinha da Quinta,Mediterranean Restaurant,dining and drinking,Moustache Coffee House,Coffee Shop,dining and drinking,,,,0,0,0.2,,
254966,Continente Modelo,Supermarket,retail,Cinemas NOS Parque Nascente,Movie Theater,arts and entertainment,Est√°dio do Drag√£o,Soccer Stadium,sports and recreation,Pestana Dom Jo√£o II Beach Resort,Hotel,travel and transportation,Leiria Shopping,Shopping Mall,retail,Museu de √âvora,Museum,arts and entertainment,Pingo Doce,Supermarket,retail,Continente Modelo,Supermarket,retail,Bikeiberia Rentals & Tours,Bike Rental / Bike Share,travel and transportation,,,,,,,0.2,0.2,0.8,,
772807,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Louis Vuitton,Accessories Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,BP,Gas Station,business and professional services,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,Hotel S√£o Jo√£o de Deus,Hotel,travel and transportation,"Pousada de Angra do Hero√≠smo,  S√£o Sebasti√£o",Bed & Breakfast,travel and transportation,,,,0,0,0,,
1761599,McDonald's,Fast Food Restaurant,dining and drinking,Est√°dio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Starbucks,Coffee Shop,dining and drinking,Starbucks,Coffee Shop,dining and drinking,Hotel Dom Jose,Hotel,travel and transportation,Triparte Est√∫dio,Tattoo Parlor,business and professional services,Holiday Inn Express Lisbon Alfragide,Hotel,travel and transportation,Lisboa Story Centre,History Museum,arts and entertainment,Hotel S√£o Jo√£o de Deus,Hotel,travel and transportation,,,,0,0,0.2,,
345788,Pastelaria Bomboca,Bakery,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Marqu?s de Pombal,Plaza,landmarks and outdoors,Esta??o Ferrovi?ria de Sete Rios,Train Station,travel and transportation,Continente Modelo,Supermarket,retail,Continente,Supermarket,retail,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Santo Ant√≥nio,Steakhouse,dining and drinking,,,,0,0,0.6,,
422846,Moustache Coffee House,Coffee Shop,dining and drinking,Continente Modelo,Supermarket,retail,E.Leclerc,Big Box Store,retail,Continente,Supermarket,retail,Parque Nascente,Shopping Mall,retail,Worten,Electronics Store,retail,H√§agen-Dazs,Ice Cream Shop,dining and drinking,Esta√ß√£o Viana Shopping,Shopping Mall,retail,McDonald's,Fast Food Restaurant,dining and drinking,Continente Modelo,Supermarket,retail,,,,0.2,0.6,1,,
187512,Entrada Norte - CP Santa Apol√≥nia,Train Station,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Come Prima,Italian Restaurant,dining and drinking,Cinemas NOS Alval√°xia,Movie Theater,arts and entertainment,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Sala Tejo,Event Space,business and professional services,McDonald's,Fast Food Restaurant,dining and drinking,,,,0.4,0.4,0.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,0.087333333,0.190833333,0.577666667,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Std deviation,0.142254573,0.244678205,0.309684862,,
